tool	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 
run set	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
acrobatics_04.yml	false	14398.397929	14400.301782229915	1684.455424	-1	-1	true	707.247746	707.2977128922939	258.777088	707.095255	32
acrobatics_05.yml	false	14397.755082	14399.669079337269	1805.889536	-1	-1	TIMEOUT (false)	14401.064326	14402.053738923743	1269.694464	-1	-1
acrobatics_06.yml	false	14398.937261	14400.838666168973	1747.718144	-1	-1	TIMEOUT (false)	14401.07928	14402.035834301263	1306.058752	-1	-1
acrobatics_07.yml	false	14398.680425	14400.621601124294	2599.895040	-1	-1	TIMEOUT (false)	14401.105145	14402.030861796811	1938.984960	-1	-1
acrobatics_08.yml	false	14398.528527	14400.402199960314	2292.203520	-1	-1	TIMEOUT (false)	14401.160743	14402.094767311588	3380.830208	-1	-1
beam-walk_04.yml	false	14398.721328	14400.27902764082	1795.596288	-1	-1	TIMEOUT (false)	14401.042094	14402.158147437498	658.546688	-1	-1
beam-walk_05.yml	false	10425.867154	10426.664337469265	2293.780480	-1	-1	TIMEOUT (false)	14401.040253	14402.163390245289	680.960000	-1	-1
beam-walk_06.yml	false	14397.694868	14400.196114582941	2502.922240	-1	-1	TIMEOUT (false)	14401.045107	14404.18410519138	827.961344	-1	-1
beam-walk_07.yml	false	14399.301432	14400.372505512089	1779.884032	-1	-1	TIMEOUT (false)	14401.066943	14402.135845424607	1087.590400	-1	-1
beam-walk_08.yml	false	14399.23796	14400.201070287265	2231.377920	-1	-1	TIMEOUT (false)	14401.113411	14402.064736593515	1595.224064	-1	-1
beam-walk_09.yml	false	14399.569805	14400.559930327348	2771.062784	-1	-1	TIMEOUT (false)	14401.167812	14402.066982401535	2951.774208	-1	-1
blocksworld-ipc08_12.yml	false	14399.587146	14401.010571422987	2868.658176	-1	-1	TIMEOUT (false)	14401.15613	14402.209796356037	2593.157120	-1	-1
blocksworld-ipc08_13.yml	false	14399.022052	14400.140629916452	3724.685312	-1	-1	TIMEOUT (false)	14401.14807	14403.76731097512	2323.632128	-1	-1
blocksworld-ipc08_15.yml	false	14399.532127	14400.607225527056	2570.153984	-1	-1	TIMEOUT (false)	14401.160319	14402.199605304748	2689.712128	-1	-1
blocksworld-ipc08_16.yml	false	14399.876538	14401.0340432683	2899.795968	-1	-1	TIMEOUT (false)	14401.173492	14402.177036741748	2673.213440	-1	-1
blocksworld-ipc08_18.yml	false	9867.62555	9868.35992807243	2817.564672	-1	-1	true	2052.438816	2052.601787729189	1930.571776	2052.190129	18
blocksworld-ipc08_20.yml	false	14399.85688	14400.987246461213	2816.450560	-1	-1	TIMEOUT (false)	14401.162219	14402.238928820938	2338.021376	-1	-1
blocksworld-new_10.yml	false	12267.621606	12268.623348805122	3686.539264	-1	-1	TIMEOUT (false)	14401.214653	14402.160155070946	3695.779840	-1	-1
blocksworld-new_9.yml	false	14398.432447	14401.152627462521	2916.331520	-1	-1	TIMEOUT (false)	14401.120499	14402.046022765338	2187.530240	-1	-1
chain-of-rooms_10.yml	false	14399.76378	14400.829121489078	2512.236544	-1	-1	TIMEOUT (false)	14401.072956	14402.015021104366	1094.406144	-1	-1
chain-of-rooms_2.yml	false	14399.169679	14400.198132198304	1819.938816	-1	-1	TIMEOUT (false)	14401.067292	14403.764222938567	804.007936	-1	-1
chain-of-rooms_3.yml	false	14398.823005	14399.919803350233	2425.192448	-1	-1	TIMEOUT (false)	14401.048046	14402.053230896592	999.653376	-1	-1
chain-of-rooms_4.yml	false	14399.40322	14400.471622653306	2102.931456	-1	-1	TIMEOUT (false)	14401.081297	14402.055409392342	861.405184	-1	-1
chain-of-rooms_5.yml	false	14398.483339	14399.654483330436	1743.208448	-1	-1	TIMEOUT (false)	14400.116322	14401.002888217568	1014.005760	-1	-1
chain-of-rooms_6.yml	false	14399.110743	14400.12257719133	1737.699328	-1	-1	TIMEOUT (false)	14401.056224	14402.006135858595	946.257920	-1	-1
chain-of-rooms_7.yml	false	14399.083225	14400.0841840012	2129.580032	-1	-1	TIMEOUT (false)	14401.050416	14402.106677636504	1037.672448	-1	-1
chain-of-rooms_8.yml	false	14397.116966	14399.534609751776	1594.859520	-1	-1	TIMEOUT (false)	14401.049941	14402.077609919012	950.833152	-1	-1
chain-of-rooms_9.yml	false	14399.17552	14400.1504393965	1727.381504	-1	-1	TIMEOUT (false)	14401.065662	14402.062829308212	1131.511808	-1	-1
doors_14.yml	false	14398.954895	14400.058753281832	1889.726464	-1	-1	true	1283.975635	1284.0744857490063	376.377344	1283.863426	31
doors_15.yml	false	14398.878345	14399.870726577006	2642.894848	-1	-1	true	1501.472487	1501.585020935163	426.070016	1501.384219	33
earth_observation_03.yml	false	14399.672579	14400.671822864562	559.644672	-1	-1	true	1717.474495	1717.774375161156	175.177728	1717.596838	25
earth_observation_05.yml	false	14399.631226	14400.720254012384	723.189760	-1	-1	TIMEOUT (false)	14401.031028	14402.01630125381	278.188032	-1	-1
earth_observation_06.yml	false	14397.841357	14400.452829242684	530.628608	-1	-1	true	3819.767606	3820.033840097487	206.098432	3819.857911	25
earth_observation_09.yml	false	14399.362899	14400.42618983984	511.180800	-1	-1	TIMEOUT (false)	14401.025797	14403.801897691563	282.009600	-1	-1
earth_observation_10.yml	false	14399.784926	14400.75432292372	887.500800	-1	-1	TIMEOUT (false)	14401.026779	14402.031875895336	299.646976	-1	-1
earth_observation_12.yml	false	14398.99555	14400.099742170423	964.321280	-1	-1	TIMEOUT (false)	14401.027616	14402.069523442537	265.289728	-1	-1
earth_observation_13.yml	false	14399.282949	14400.232015019283	728.551424	-1	-1	TIMEOUT (false)	14401.030424	14402.049220224842	318.603264	-1	-1
earth_observation_14.yml	false	14399.655817	14400.642590453848	1111.003136	-1	-1	TIMEOUT (false)	14401.026848	14402.093635590747	328.658944	-1	-1
earth_observation_15.yml	false	14399.426338	14400.393878536299	1516.032000	-1	-1	TIMEOUT (false)	14401.027436	14402.032622845843	349.827072	-1	-1
earth_observation_17.yml	false	14399.463151	14400.58397772722	1162.301440	-1	-1	TIMEOUT (false)	14401.03086	14402.121453108266	324.739072	-1	-1
earth_observation_18.yml	false	14397.219827	14399.726528659463	1141.661696	-1	-1	TIMEOUT (false)	14400.073595	14401.003042656928	336.691200	-1	-1
earth_observation_19.yml	false	14399.176321	14400.2464586664	1465.700352	-1	-1	TIMEOUT (false)	14401.034678	14403.667596103624	359.763968	-1	-1
earth_observation_20.yml	false	14399.501076	14400.487726951018	1725.329408	-1	-1	TIMEOUT (false)	14401.030955	14402.031047144905	457.973760	-1	-1
earth_observation_21.yml	false	14399.28714	14400.356567975134	1079.324672	-1	-1	TIMEOUT (false)	14401.035217	14402.034710528329	395.796480	-1	-1
earth_observation_22.yml	false	14399.083637	14400.07053873688	1134.239744	-1	-1	TIMEOUT (false)	14401.031772	14402.087452391163	313.405440	-1	-1
earth_observation_23.yml	false	14399.880361	14400.873427681625	1425.444864	-1	-1	TIMEOUT (false)	14401.033007	14402.081234408543	358.637568	-1	-1
earth_observation_24.yml	false	14398.957555	14399.989307882264	1999.781888	-1	-1	TIMEOUT (false)	14401.027954	14402.032081186771	411.914240	-1	-1
earth_observation_25.yml	false	14398.759836	14399.800175135955	1370.980352	-1	-1	TIMEOUT (false)	14401.039788	14402.159317115322	536.682496	-1	-1
earth_observation_26.yml	false	14398.056787	14400.621381506324	1009.582080	-1	-1	TIMEOUT (false)	14401.023279	14402.049932299182	297.828352	-1	-1
earth_observation_27.yml	false	14399.010923	14400.103289129212	2015.952896	-1	-1	TIMEOUT (false)	14401.033441	14403.551271392033	408.051712	-1	-1
earth_observation_29.yml	false	14398.826751	14399.92773490958	1811.607552	-1	-1	true	3070.273362	3070.5013425946236	478.490624	3070.313613	36
earth_observation_30.yml	false	14399.807823	14400.853493047878	2006.581248	-1	-1	TIMEOUT (false)	14401.032519	14402.05418805778	411.418624	-1	-1
earth_observation_31.yml	false	14398.853314	14399.880258776248	3391.037440	-1	-1	true	2894.262628	2894.4754746388644	399.036416	2894.289502	37
earth_observation_33.yml	false	14399.685933	14400.821497833356	2051.522560	-1	-1	TIMEOUT (false)	14401.025932	14402.06263973564	421.797888	-1	-1
earth_observation_34.yml	false	14397.441336	14400.199778951705	1679.380480	-1	-1	TIMEOUT (false)	14401.033253	14402.060805484653	417.824768	-1	-1
earth_observation_35.yml	false	14399.344314	14400.44503527321	1548.632064	-1	-1	TIMEOUT (false)	14401.03767	14402.13772120513	548.438016	-1	-1
earth_observation_36.yml	false	14398.971667	14400.030590502545	2105.532416	-1	-1	TIMEOUT (false)	14401.038543	14402.112293820828	499.154944	-1	-1
earth_observation_37.yml	false	14399.092814	14400.152025057003	1791.508480	-1	-1	TIMEOUT (false)	14401.032644	14403.732765519992	469.295104	-1	-1
earth_observation_38.yml	false	14399.378088	14400.427522387356	1879.912448	-1	-1	TIMEOUT (false)	14401.040516	14402.082987518981	502.435840	-1	-1
earth_observation_40.yml	false	14398.379133	14399.430577093735	1784.385536	-1	-1	TIMEOUT (false)	14401.042604	14402.104628302157	560.766976	-1	-1
elevators_08.yml	false	14399.929076	14400.921468859538	1402.441728	-1	-1	TIMEOUT (false)	14401.034191	14402.05586573854	360.525824	-1	-1
elevators_09.yml	false	14397.473801	14400.126617137343	2316.689408	-1	-1	true	12806.65772	12807.604544090107	402.710528	12807.413524	36
elevators_10.yml	false	14398.307016	14399.46152435802	1711.046656	-1	-1	TIMEOUT (false)	14401.029367	14402.127667739987	402.812928	-1	-1
elevators_11.yml	false	14399.36343	14400.407067231834	1668.759552	-1	-1	TIMEOUT (false)	14401.03226	14402.103134036064	415.813632	-1	-1
elevators_12.yml	false	14398.902226	14400.021059978753	1136.652288	-1	-1	TIMEOUT (false)	14401.035135	14403.965066259727	498.434048	-1	-1
elevators_13.yml	false	14399.807277	14400.833928173408	1779.478528	-1	-1	TIMEOUT (false)	14401.030348	14402.042723109946	459.104256	-1	-1
elevators_15.yml	false	14399.372001	14400.428861703724	1374.658560	-1	-1	TIMEOUT (false)	14401.043916	14402.064273159951	556.290048	-1	-1
faults-ipc08_29.yml	TIMEOUT (false)	14400.365608	14401.45024432242	270.602240	-1	-1	true	298.708931	298.73176421038806	91.504640	298.561318	18
faults-ipc08_30.yml	false	14398.241388	14400.929418630898	288.129024	-1	-1	true	382.503101	382.5298495143652	89.182208	382.361687	17
faults-ipc08_31.yml	false	14399.673208	14400.83047767356	391.016448	-1	-1	true	670.416384	670.4551995228976	154.505216	670.274012	17
faults-ipc08_32.yml	TIMEOUT (false)	14400.631074	14401.640262253582	422.039552	-1	-1	true	657.266697	657.3060352988541	146.321408	657.134461	17
faults-ipc08_33.yml	TIMEOUT (false)	14400.578999	14401.729685496539	548.032512	-1	-1	true	820.944474	820.9960558861494	154.738688	820.810787	17
faults-ipc08_34.yml	TIMEOUT (false)	14400.103169	14401.142280882224	579.489792	-1	-1	true	864.869389	864.933739008382	165.220352	864.760305	17
faults-ipc08_35.yml	TIMEOUT (false)	14400.181986	14401.184553924948	788.946944	-1	-1	true	1003.380278	1003.4465713407844	190.222336	1003.260892	17
faults-ipc08_36.yml	TIMEOUT (false)	14400.353003	14401.390494795516	814.526464	-1	-1	true	1096.88818	1096.955059364438	179.503104	1096.764421	17
faults-ipc08_37.yml	TIMEOUT (false)	14400.426496	14401.500133519992	217.681920	-1	-1	true	2762.547372	2762.7270063199103	171.077632	2762.545413	20
faults-ipc08_38.yml	false	14397.20714	14399.89731251821	293.130240	-1	-1	true	3441.376628	3441.616968760267	169.984000	3441.437065	19
faults-ipc08_39.yml	TIMEOUT (false)	14400.393958	14401.526106372476	382.423040	-1	-1	true	10608.111263	10608.863865854219	267.374592	10608.679336	19
faults-ipc08_40.yml	TIMEOUT (false)	14400.079712	14401.003828505054	514.252800	-1	-1	true	13537.933415	13538.890068273991	285.167616	13538.708375	19
faults-ipc08_41.yml	TIMEOUT (false)	14400.606828	14401.723566448316	586.452992	-1	-1	true	10919.915176	10922.201579293236	276.852736	10922.010260	19
faults-ipc08_42.yml	TIMEOUT (false)	14400.054127	14401.004002042115	736.817152	-1	-1	true	11195.289041	11196.134595986456	308.805632	11195.952526	19
faults-ipc08_43.yml	TIMEOUT (false)	14400.012863	14401.083954427391	707.264512	-1	-1	true	12046.550469	12047.43635992147	313.962496	12047.262439	19
faults-ipc08_44.yml	false	14399.696247	14400.687309980392	873.598976	-1	-1	true	13672.463018	13673.549976408482	305.270784	13673.359616	19
faults-ipc08_45.yml	false	14399.965026	14401.095966329798	1154.772992	-1	-1	true	12075.691946	12076.567694997415	352.133120	12076.372443	19
faults-ipc08_46.yml	false	14399.043308	14401.696634603664	220.770304	-1	-1	TIMEOUT (false)	14400.046001	14401.003505559638	264.019968	-1	-1
faults-ipc08_49.yml	false	14399.814643	14400.85604683496	540.143616	-1	-1	TIMEOUT (false)	14401.029783	14402.190480116755	288.440320	-1	-1
faults-ipc08_50.yml	false	14398.651838	14399.729647973552	788.742144	-1	-1	TIMEOUT (false)	14401.028294	14402.032773109153	308.510720	-1	-1
faults-ipc08_52.yml	false	14399.912752	14400.929045615718	882.630656	-1	-1	TIMEOUT (false)	14401.027757	14402.151899749413	324.308992	-1	-1
faults-ipc08_53.yml	false	14399.583773	14400.717564634979	920.887296	-1	-1	TIMEOUT (false)	14401.026424	14402.09244029224	317.177856	-1	-1
faults-ipc08_54.yml	false	14398.655752	14401.467765400186	1134.567424	-1	-1	TIMEOUT (false)	14401.029619	14402.082820827141	347.074560	-1	-1
faults-ipc08_55.yml	false	14399.540775	14400.697004936635	1249.157120	-1	-1	TIMEOUT (false)	14401.026479	14402.17753443867	339.259392	-1	-1
first-responders-ipc08_105.yml	false	14399.37561	14400.44776599668	1269.129216	-1	-1	TIMEOUT (false)	14401.044997	14402.267697216943	510.242816	-1	-1
first-responders-ipc08_108.yml	false	14399.925617	14400.945119226351	3335.700480	-1	-1	TIMEOUT (false)	14401.195259	14402.155284054577	3014.045696	-1	-1
first-responders-ipc08_19.yml	false	14399.889662	14400.951338175684	1604.833280	-1	-1	TIMEOUT (false)	14401.047583	14402.039513414726	1174.491136	-1	-1
first-responders-ipc08_33.yml	false	14399.016029	14400.041354041547	2420.756480	-1	-1	TIMEOUT (false)	14401.049023	14402.010310452431	823.418880	-1	-1
first-responders-ipc08_34.yml	false	14396.918856	14399.678653154522	2331.881472	-1	-1	TIMEOUT (false)	14401.050639	14402.105320062488	852.037632	-1	-1
first-responders-ipc08_37.yml	TIMEOUT (false)	14400.895962	14402.012061476707	1204.420608	-1	-1	true	1127.465819	1127.6779621243477	207.630336	1127.495451	21
first-responders-ipc08_38.yml	TIMEOUT (false)	14400.114666	14401.134317902848	429.555712	-1	-1	true	670.908799	670.9497892409563	113.065984	670.756934	19
first-responders-ipc08_40.yml	false	14398.965664	14400.014486880973	2049.933312	-1	-1	TIMEOUT (false)	14401.074812	14402.071436440572	999.870464	-1	-1
first-responders-ipc08_47.yml	TIMEOUT (false)	14400.027673	14401.137384114787	1174.941696	-1	-1	true	2029.694318	2029.8286193050444	203.829248	2029.642114	20
first-responders-ipc08_49.yml	false	14399.07548	14400.215437047184	1522.909184	-1	-1	TIMEOUT (false)	14401.042451	14402.087976805866	383.160320	-1	-1
first-responders-ipc08_55.yml	false	14399.77862	14400.797280220315	888.635392	-1	-1	true	5277.951991	5278.3316139914095	260.460544	5278.150223	20
first-responders-ipc08_58.yml	false	14397.780359	14400.539323527366	1434.836992	-1	-1	TIMEOUT (false)	14401.037827	14402.116100717336	499.798016	-1	-1
first-responders-ipc08_60.yml	false	14399.412458	14400.435888288543	1899.008000	-1	-1	TIMEOUT (false)	14401.033416	14402.093005158007	403.419136	-1	-1
first-responders-ipc08_66.yml	false	14399.193461	14400.139262929559	2071.359488	-1	-1	TIMEOUT (false)	14401.051611	14402.02046485804	836.825088	-1	-1
first-responders-ipc08_68.yml	false	14399.100049	14400.20082362555	1924.952064	-1	-1	TIMEOUT (false)	14401.040517	14402.076282579452	551.763968	-1	-1
first-responders-ipc08_76.yml	TIMEOUT (false)	14401.259567	14402.05383323133	2447.794176	-1	-1	true	3098.551473	3098.7719931565225	389.132288	3098.568526	19
first-responders-ipc08_79.yml	false	14398.657838	14401.64839715138	2718.175232	-1	-1	TIMEOUT (false)	14401.086897	14402.063151633367	1239.379968	-1	-1
first-responders-ipc08_85.yml	TIMEOUT (false)	14400.937268	14401.948211634532	1536.466944	-1	-1	true	9092.092156	9092.767086235806	411.398144	9092.557858	18
first-responders-ipc08_95.yml	false	14397.135898	14399.893946424127	2234.413056	-1	-1	TIMEOUT (false)	14401.1014	14402.082599190995	1680.130048	-1	-1
first-responders-ipc08_97.yml	false	14399.631486	14400.631511349231	1319.153664	-1	-1	TIMEOUT (false)	14401.039292	14402.046033235267	392.925184	-1	-1
first-responders-ipc08_98.yml	false	14399.644003	14400.660328797996	2229.018624	-1	-1	TIMEOUT (false)	14401.138746	14402.130114981905	2074.202112	-1	-1
islands_57.yml	true	1138.74915	1138.8329089581966	2990.071808	1138.098935	12	OUT OF MEMORY (false)	619.450317	619.1889460943639	4096.000000	-1	-1
islands_58.yml	true	1429.246874	1429.5246743150055	3969.126400	1428.618252	12	OUT OF MEMORY (false)	525.916131	525.6715691760182	4096.000000	-1	-1
spiky-tireworld_11.yml	false	14398.834344	14399.906740993261	2865.598464	-1	-1	true	8908.821759	8910.588331595063	1154.809856	8910.385088	27
tireworld-truck_72.yml	false	14398.62785	14399.639870200306	1557.028864	-1	-1	true	5758.119812	5758.547286612913	428.990464	5758.367026	23
tireworld_15.yml	false	14398.678369	14399.7886762321	1613.000704	-1	-1	TIMEOUT (false)	14401.045409	14402.132656322792	640.823296	-1	-1
triangle-tireworld_04.yml	false	14399.319731	14400.485208773986	2780.663808	-1	-1	true	1330.656014	1330.7519572339952	235.626496	1330.554586	32
triangle-tireworld_05.yml	false	14397.226321	14400.548816291615	1770.180608	-1	-1	true	5560.596678	5561.052882440388	438.697984	5560.855857	40
triangle-tireworld_06.yml	false	14398.607895	14399.728460010141	1879.601152	-1	-1	TIMEOUT (false)	14401.043891	14402.091383825988	774.606848	-1	-1
triangle-tireworld_07.yml	false	14398.705716	14399.824794828892	1715.548160	-1	-1	TIMEOUT (false)	14401.043937	14402.181366281584	760.061952	-1	-1
triangle-tireworld_08.yml	false	14398.21911	14399.43945427239	2151.051264	-1	-1	TIMEOUT (false)	14401.069416	14402.131814194843	866.934784	-1	-1
triangle-tireworld_09.yml	false	14398.946851	14400.138129955158	1879.851008	-1	-1	TIMEOUT (false)	14401.008729	14402.149157747626	940.769280	-1	-1
triangle-tireworld_10.yml	false	14399.633014	14400.723172912374	2038.181888	-1	-1	TIMEOUT (false)	14401.088391	14402.10220324248	1163.214848	-1	-1
triangle-tireworld_11.yml	false	14399.196679	14400.205521252006	1868.910592	-1	-1	TIMEOUT (false)	14401.054428	14402.11617609486	1190.428672	-1	-1
triangle-tireworld_12.yml	false	14399.534053	14400.669657742605	2417.836032	-1	-1	TIMEOUT (false)	14401.073837	14403.84896488674	1378.934784	-1	-1
triangle-tireworld_13.yml	false	14396.691209	14400.133615002036	2249.166848	-1	-1	TIMEOUT (false)	14401.083945	14402.143043225631	1327.562752	-1	-1
triangle-tireworld_14.yml	false	14399.19498	14400.283965114504	1905.336320	-1	-1	TIMEOUT (false)	14401.091542	14402.096948888153	1537.343488	-1	-1
triangle-tireworld_15.yml	false	14399.395321	14400.453574465588	2164.719616	-1	-1	TIMEOUT (false)	14401.098348	14402.081980692223	1655.717888	-1	-1
triangle-tireworld_16.yml	false	14399.565529	14400.692018572241	2354.466816	-1	-1	TIMEOUT (false)	14401.137914	14402.089758533984	1772.740608	-1	-1
triangle-tireworld_17.yml	false	14398.870166	14399.990128006786	2380.214272	-1	-1	TIMEOUT (false)	14401.105433	14402.180979855359	2086.359040	-1	-1
triangle-tireworld_18.yml	false	14398.940401	14399.98963345401	2093.334528	-1	-1	TIMEOUT (false)	14401.120273	14402.08752294071	2130.665472	-1	-1
triangle-tireworld_19.yml	false	14399.333322	14400.408347167075	2664.718336	-1	-1	TIMEOUT (false)	14401.131148	14402.079163383693	2418.864128	-1	-1
triangle-tireworld_21.yml	false	14397.127249	14400.22001692839	3033.513984	-1	-1	TIMEOUT (false)	14401.164578	14402.157450383529	2842.353664	-1	-1
triangle-tireworld_23.yml	false	14399.584544	14400.580052005127	3102.322688	-1	-1	TIMEOUT (false)	14401.225073	14402.180659368634	3414.740992	-1	-1
triangle-tireworld_25.yml	false	14399.433038	14400.471662320197	3047.661568	-1	-1	TIMEOUT (false)	14401.272836	14402.042482305318	3894.009856	-1	-1
triangle-tireworld_26.yml	TIMEOUT (false)	14400.176846	14401.003370840102	3657.400320	-1	-1	OUT OF MEMORY (false)	10091.80876	10092.253790000454	4096.000000	-1	-1
triangle-tireworld_27.yml	false	14398.76755	14400.191279601306	2871.189504	-1	-1	OUT OF MEMORY (false)	4871.669651	4871.739647479728	4096.000000	-1	-1
triangle-tireworld_28.yml	false	14399.458601	14400.536568354815	4010.065920	-1	-1	OUT OF MEMORY (false)	3966.796634	3967.3149949125946	4096.000000	-1	-1
triangle-tireworld_31.yml	TIMEOUT (false)	14400.159951	14401.010773468763	3992.072192	-1	-1	OUT OF MEMORY (false)	2358.905608	2358.773566763848	4096.000000	-1	-1
triangle-tireworld_33.yml	false	14399.704191	14400.65363381803	3783.016448	-1	-1	OUT OF MEMORY (false)	1757.375479	1757.2239273004234	4096.000000	-1	-1
zenotravel_06.yml	TIMEOUT (false)	14401.019484	14402.165554156527	4063.768576	-1	-1	OUT OF MEMORY (false)	1523.203316	1523.042146962136	4096.000000	-1	-1
